!
! START OF RUN INFORMATION
!  Run number  : 76785
!  Title       : CaF2
!  Temperature : 50.000 K
!  Field       : 0.00 G
!  Comment     : Long ZF run
!  Started     : 2019-06-18  10:15:27
!  Stopped     : 2019-06-18  13:05:47
!  Histograms  : 32 [64 det] (2048 bins of 16000 ps = 32.77 µs)
!  Events      : 180.8 MEv grouped in range (raw = 191.4) [405252 fr, 446 Ev/fr]
! END OF RUN INFORMATION
!
! START OF GROUPING INFORMATION
!  Group#01  Hist(t0): 01( 29) 02( 29) 03( 29) 04( 29) 05( 29) 06( 29) 07( 29) 08( 29) 09( 29) 10( 29) 11( 29) 12( 29) 13( 29) 14( 29) 15( 29) 16( 29) 
!  Group#02  Hist(t0): 17( 29) 18( 29) 19( 29) 20( 29) 21( 29) 22( 29) 23( 29) 24( 29) 25( 29) 26( 29) 27( 29) 28( 29) 29( 29) 30( 29) 31( 29) 32( 29) 
!  Forward Group = 02, Backward Group = 01, Alpha = 1.6280
!  Offset to first good bin =  7, Last good bin = 2048
!  Fixed binning, bunching factor =  5
!  Deadtime correction off
!  Background correction off
! END OF GROUPING INFORMATION
!
! START OF DATA SET INFORMATION
!  Datarow: (Time) (FB asymmetry) (Error) 
!  Title: F-B Asymmetry
!  Xlabel: Time in microseconds
!  Ylabel: % Asymmetry
! END OF DATA SET INFORMATION
!
19.504 2.70662 3.28851
19.584 0.978269 3.34406
19.664 -2.27558 3.37996
19.744 6.92169 3.51734
19.824 -0.0587896 3.42515
19.904 -1.93623 3.55355
19.984 0.895091 3.52165
20.064 2.21326 3.67152
20.144 0.759571 3.71851
20.224 5.56635 3.84673
20.304 -2.3325 4.05076
20.384 -3.02756 3.96634
20.464 1.37005 3.97134
20.544 1.09544 3.96009
20.624 9.99783 4.36574
20.704 -0.430746 4.22188
20.784 3.39681 4.1121
20.864 2.35189 4.27069
20.944 3.75999 4.5245
21.024 3.01345 4.53916
21.104 -2.97343 4.48282
21.184 -9.415 4.55581
21.264 0.573053 4.48041
21.344 4.0746 4.61583
21.424 -7.95542 4.60665
21.504 -3.28887 4.73652
21.584 -8.20096 4.85877
21.664 -7.32124 5.00259
21.744 2.5015 5.04924
21.824 7.13192 5.5715
21.904 3.21366 5.24069
21.984 7.57186 5.3449
22.064 8.34287 5.6306
22.144 -9.44763 5.41135
22.224 -7.52972 5.72845
22.304 3.8488 5.72835
22.384 -1.16353 5.68056
22.464 9.47383 6.23719
22.544 -11.9896 5.65923
22.624 4.33406 6.33008
22.704 -3.67429 5.92082
22.784 5.33014 6.05696
22.864 -7.13293 6.31191
22.944 0.776035 6.3287
23.024 5.74696 6.28907
23.104 2.62893 6.73314
23.184 -8.42491 6.68982
23.264 15.5932 7.56851
23.344 12.5341 6.99285
23.424 -0.867411 7.66397
23.504 -9.37783 7.0887
23.584 1.71846 7.42789
23.664 5.09549 7.42319
23.744 -1.71279 7.09649
23.824 6.69253 7.70389
23.904 7.0511 7.75099
23.984 4.02941 7.62385
24.064 3.6116 8.13783
24.144 9.37714 8.12245
24.224 9.7844 8.40965
24.304 -2.65271 8.55908
24.384 12.8102 8.78819
24.464 -1.49626 9.11093
24.544 6.32443 9.19816
24.624 -5.00762 8.78282
24.704 3.87509 8.57468
24.784 -0.73738 9.27622
24.864 2.05836 8.48362
24.944 15.8032 8.7229
